,text
187,#Breaking: The US has reported its first #death from the #coronavirus. The victim was in #Washington State.… https://t.co/n20yTniFuZ
188,"Well well. This is interesting.
Over China, #coronavirus coincides with plummet in nitrogen dioxide.... 
https://t.co/R4QgJULDAm"
189,I hope that any of the media who are broadcasting Trumps #coronavirus presser today does it split screen with live… https://t.co/AJuTpcWMj6
190,This is NOT a HOAX. The First Known Death from the #CoronaVirus #Coronavid19 has SADLY occurred in Washington State… https://t.co/l3SzQGXsuZ
191,Prowein has been posponed 🦠 #Prowein #wine #wines #Coronavid19 #coronavirus
192,#CoronaVirus: latest developments worldwide https://t.co/gHA2kkK3Bn
193,"Since a US-based death has now occurred from #coronavirus, the cancellation of this presser is expected in 4 ... 3… https://t.co/gJ3Vbl4OXJ"
194,"WASHINGTON STATE: 1st US death #Coronavirus #COVID19
Follow my lists
HEALTH https://t.co/KALLwq0C2L
SCIENCE REPORTI… https://t.co/LDyppulPam"
195,"How DARE you call this world-wide epidemic a hoax, Donald. The first American has died from #COVID19 . You have the… https://t.co/ntyOkhELIa"
196,"Who's going to break it to Jon that it's now 21 Days isolation required? ⚠️ *WASH YER HANDS!*

#COVID19… https://t.co/QuuXAMsWDO"
197,@CABRAXAS10 Sorry @Cabraxas. I wish you were right about #coronavirus but it is a terrible disease.
198,Market participants are pricing in negative price action for Chinese large-cap equities. Short interest in Chinese… https://t.co/gxvl5fqIBB
199,Two percent death rate. No one has immunity. 330 million Americans. 6.6 million dead. #coronavirus
200,"First #coronavirus death in the U.S. happens in Washington state: NBC https://t.co/VCkXyQxF5Z

MORE w/ EcoSearch -… https://t.co/rOpMXOFAD9"
201,Mexico would very much like to be excluded from this narrative. #coronavirus https://t.co/Is8Y7aWJy7
202,"First US death in the US, expect the markets to act accordingly Monday #Covid19 #CoronaVirus  https://t.co/xJo09as5eq"
203,Cats are wearing #coronavirus masks in #China https://t.co/YdHX9tucR0 #CoronaVtj https://t.co/X6erNC5Y3s
204,"Did some supply shopping.
Can't fit everything in my shelves.
This can also be my earthquake emergency kit… https://t.co/TPD942CJEO"
205,"Only 4800+ more to go to be as dangerous as the flu.

#coronavirus #fearmongering https://t.co/jMGe6YDRej"
206,"Sadly, an American can be added to the list of those killed by #coronavirus. It happened in my state. My condolence… https://t.co/NXtqR25rvI"
207,"This morning, I saw a Tweet that there would be a 1:30 Trump briefing on the coronavirus.  I thought it seemed like… https://t.co/1mbV2u9rhq"
208,Coronavirus Scare: Moscow authorities begin exterminating stray animals.. #Moscow #Russia #Dogs #Cats #Coronavirus… https://t.co/XSEHg1WsEk
209,#Iran calls on people to stay at home as death toll rises to 43. https://t.co/a0bBiJWMZR #Coronavirus
210,"First US death. BREAKING: A person diagnosed with #coronavirus in #KingCounty in #Washington state has died, accord… https://t.co/GniH3wT23e"
