,text
149,WARNING #coronapocolypse #ShutItDown #StayTheFHome #COVIDー19 #GenX #coronavirus #HighRiskCovid19 #californiacoronavirus #COVID19 #CoronaVirusUpdates #StayHome #SocialDistancingNow #nycschools #CoronavirusOutbreak #WONHOMECOMING https://t.co/yiZHaXuBrl
150,"In the midst of #Coronavirus school cancellations, these Japanese students got creative and held their graduation ceremony in #Minecraft https://t.co/wnEObvIuxu"
151,Why can’t we just ask #Cuba to help us with the #coronavirus? #DemDebate
152,"This week at work:

Boss on my ass telling me to
ISOLATE.

Every other week at work:

Boss on my ass asking why am
I SO LATE.

#coronavirus"
153,"@realDonaldTrump @CDCgov Schools closed, Events closed, toilet paper all gone. But everyone is going shopping, going out to eat, going to bars, clubs. Military bases NOT on lockdown or concerned. #Celebrities are now cashing in on promoting products for #coronavirus panic. Epidemic is #SocialMediaVirus $"
154,"Really reckless of @ohionorthern to still make their nursing and other professional science students report to local hospitals as usual, while other students are sent home. Ohio Northern could be responsible for further spread of COVID-19. #coronavirus @DanDiBiasio"
155,@realDonaldTrump People are dying and suffering all over the country! #CoronaVirus
156,"Omg! It just occurred to me what @PokemonGoApp is doing...

It’s nearly all fighting pokemon spawns boosted to ‘fight’ the corona virus. #coronapocolypse #coronavirus #COVID19"
157,Don’t forget to support local businesses any virtual way you can during this #coronavirus mess – order takeout or purchase gift cards to use later in healthier times. Don’t let your favorite local joint die out! https://t.co/UKljpue8bv
158,"NO MORE THAN 50: The CDC recommends that U.S. events with more than 50 people be canceled or postponed in an effort to stop the spread of the novel #coronavirus.
https://t.co/fEr85OeL7w"
159,#DearCandidate #coronavirus exposes the need to rethink our #healthcare system's priorities -- and address the needs of older adults #Medicaid @JoeBiden @BernieSanders #Election2020 #DemDebate
160,LAPD announces a supervisor at Pacific division has tested positive for #coronavirus. First case within the department. He is now home recovering and condition is improving. https://t.co/XjleEiEzft
161,"#DemDebate

Comrade Bernie &amp; #SleepyJoe obviously have not been watching White House News Briefings #CoronaVirus 😳

#PayAttention Democrat Presidential Candidates https://t.co/MTRSZliP0E"
162,"America isn’t just sick of Donald Trump, America is getting sick because of Donald Trump.

#Resist
#Coronavirus
#COVIDー19 
#COVID19
#Incompetence"
163,"😆Posted @withregram • @kithstagram Stay safe out there, flatheads! If you must go out, try to stay at least headcrushing distance from others! 
#coronavirus #safetyfirst #kidsinthehall #kith #headcrusher #markmckinney #mrtyzic #imcrushingyourhead #fl… https://t.co/fuUaMm07H7 https://t.co/EVTzDiH6mS"
164,"Dr. Pepper PUPDATE #1!

New rules from the CDC 

https://t.co/Bc3WeY6vXP

#coronavirus #doctorpepper #pupdate https://t.co/sludOhwBa8"
